"Millis","P1","P2"
101552,717,651
101652,717,651
101754,717,651
101855,717,651
101956,717,651
102058,717,651
102158,717,651
102260,717,651
102361,717,651
102462,717,651
102564,717,651
102665,717,651
102765,717,651
102867,717,651
102968,717,651
103070,717,651
103171,717,651
103272,717,651
103373,717,651
103474,717,651
103575,717,651
103677,717,651
103778,717,651
103880,717,651
103980,717,651
104081,717,651
104183,717,651
104284,717,655
104385,717,668
104486,717,677
104587,717,678
104688,717,681
104790,717,678
104891,717,670
104993,717,668
105093,717,667
105194,717,678
105296,717,687
105397,717,692
105498,717,692
105599,717,678
105700,717,656
105802,717,648
105903,717,647
106004,717,647
106106,717,648
106206,717,650
106307,717,655
106409,717,662
106510,717,657
106612,717,652
106713,717,651
106813,717,651
106915,717,651
107016,717,657
107117,717,680
107219,717,703
107319,717,686
107421,717,656
107522,717,647
107623,717,647
107725,717,647
107826,717,647
107926,717,647
108028,717,647
108129,717,647
108231,718,647
108332,727,647
108433,742,647
108534,749,647
108635,732,647
108736,714,647
108838,712,647
108939,712,647
109039,712,647
109141,712,647
109242,713,647
109344,713,647
109444,713,647
109545,713,647
109647,713,647
109748,713,647
109849,713,647
109950,712,647
110051,712,647
110153,712,647
110254,712,647
110354,712,647
110456,712,647
110557,712,647
110658,712,647
110760,712,647
110860,712,650
110962,712,658
111063,712,662
111164,712,676
111265,712,693
111366,712,693
111467,712,678
111569,712,657
111670,712,647
111770,712,651
111872,712,660
111973,713,667
112075,715,663
112176,718,655
112276,715,657
112378,703,656
112479,707,654
112580,709,658
112681,709,658
112782,709,663
112884,709,660
112985,709,651
113086,709,649
113187,709,645
113288,709,644
113389,709,644
113491,709,644
113591,709,644
113693,709,645
113794,709,648
113895,709,648
113997,709,647
114097,709,647
114198,709,648
114300,709,652
114401,709,657
114503,709,664
114603,709,681
114704,709,677
114806,709,662
114907,709,661
115007,709,663
115109,709,664
115210,709,661
115311,709,658
115413,711,648
115513,715,641
115615,710,644
115716,702,644
115817,705,644
115918,706,644
116019,706,644
116120,706,644
116222,706,644
116323,706,644
116424,706,644
116525,706,644
116626,706,644
116728,706,644
116828,706,644
116929,706,644
117031,706,644
117132,706,644
117234,706,644
117334,706,644
117435,706,644
117537,706,644
117638,706,644
117739,706,644
117840,706,644
117941,706,644
118042,706,644
118144,706,644
118244,706,644
