"Millis","P1","P2"
86488,735,677
86589,725,676
86690,700,677
86791,678,677
86892,672,676
86993,672,676
87095,672,676
87195,672,677
87296,675,676
87398,679,676
87499,676,676
87599,675,676
87701,677,676
87802,678,676
87903,678,677
88004,678,677
88105,678,677
88206,678,676
88307,678,677
88408,677,676
88509,677,676
88610,677,677
88711,677,677
88812,677,676
88913,677,676
89015,677,677
89115,677,676
89216,677,669
89318,677,671
89419,676,673
89519,677,673
89621,677,672
89722,676,672
89823,676,672
89924,676,673
90025,676,673
90126,676,673
90227,676,672
90328,676,672
90429,676,673
90530,677,673
90631,687,672
90732,699,672
90833,705,673
90935,694,673
91035,682,673
91136,685,673
91238,694,673
91339,700,673
91439,694,673
91541,680,672
91642,676,672
91743,676,673
91844,676,673
91945,676,673
92046,675,672
92147,675,672
92248,675,673
92349,675,673
92450,675,672
92551,675,672
92652,675,673
92753,675,673
92855,675,672
92955,675,673
93056,675,673
93158,675,675
93259,675,677
93359,675,679
93461,675,675
93562,675,676
93663,674,678
93764,674,665
93865,674,665
93966,674,669
94067,675,669
94168,679,669
94269,687,668
94370,691,669
94471,697,669
94572,698,669
94673,682,669
94775,670,669
94876,671,669
94976,671,669
95078,671,669
95179,671,669
95279,671,669
95381,671,669
95482,671,669
95583,671,669
95684,671,669
95785,670,669
95886,670,669
95987,670,669
96088,670,669
96189,670,669
96290,670,668
96391,670,669
96492,670,669
96593,670,669
96695,670,669
96796,670,669
96896,670,669
96998,670,669
97099,670,669
97199,670,669
97301,672,671
97402,680,670
97503,690,669
97604,705,670
97705,702,678
97806,680,671
97907,672,661
98008,672,667
98109,672,669
98210,671,668
98311,671,669
98412,671,669
98513,671,671
98615,671,675
98715,671,665
98816,671,664
98918,671,665
99019,671,665
99119,671,665
99221,671,665
99322,671,665
99423,671,665
99524,670,665
99625,670,665
99726,671,665
99827,671,665
99928,670,665
100029,670,665
100130,670,665
100231,670,665
100332,670,665
100433,670,665
100535,670,665
100635,670,665
100736,670,665
100838,674,665
100939,677,665
101039,673,665
101141,679,665
101242,688,665
101343,693,665
101444,691,665
101545,688,665
101646,688,665
101747,683,665
101848,677,665
101949,677,665
102050,688,665
102151,698,666
102252,692,665
102353,674,661
102454,667,652
102555,667,655
102656,667,669
102757,669,672
102858,671,669
102959,672,673
103060,672,670
103184,671,660
103309,671,660
103435,671,661
103562,671,661
103620,671,661
103693,671,661
103790,671,661
103887,671,661
103985,671,661
104083,671,661
104180,671,661
104278,671,661
104376,670,661
104474,670,661
104575,670,661
104676,670,661
104777,670,661
104878,670,661
