"Millis","P1","P2"
96719,695,742
96820,695,742
96921,695,742
97023,695,742
97123,695,742
97225,695,742
97326,695,742
97427,695,742
97529,695,742
97630,695,742
97730,695,742
97832,695,742
97933,695,742
98034,695,742
98136,695,742
98237,695,742
98338,695,742
98439,695,742
98540,695,742
98642,695,742
98743,695,742
98844,695,742
98945,695,742
99046,695,742
99148,695,742
99249,695,742
99350,695,742
99452,695,742
99552,695,742
99653,695,742
99755,695,742
99856,695,742
99958,695,742
100058,695,742
100159,695,742
100261,695,742
100362,695,742
100463,695,742
100565,695,742
100665,695,742
100767,698,742
100868,705,742
100969,712,742
101071,737,742
101172,760,742
101272,771,742
101374,764,742
101475,752,742
101577,742,742
101678,728,742
101779,727,742
101880,719,742
101981,699,742
102082,692,742
102184,692,742
102285,691,742
102386,691,742
102487,691,742
102588,691,742
102690,691,742
102791,691,742
102892,691,742
102994,691,742
103094,691,742
103195,691,742
103297,691,742
103398,691,742
103500,691,742
103600,691,742
103701,691,742
103803,691,742
103904,691,742
104005,691,742
104107,691,742
104207,691,742
104309,691,742
104410,691,742
104511,691,742
104613,691,742
104714,691,742
104814,691,742
104916,691,742
105017,691,742
105119,691,742
105220,691,742
105321,691,742
105422,691,742
105523,691,742
105624,691,742
105726,691,742
105827,691,742
105929,691,742
106029,691,742
106130,691,742
106232,691,742
106333,691,742
106434,691,742
106535,691,742
106636,691,742
106737,691,742
106839,691,742
106940,691,742
107042,692,742
107142,697,742
107243,729,742
107345,750,742
107446,750,742
107547,737,742
107649,726,742
107749,711,742
107851,695,742
107952,687,742
108053,687,742
108155,687,742
108256,687,742
108356,687,742
108458,687,742
108559,687,742
108661,687,742
108762,687,742
108863,687,742
108964,687,742
109065,687,742
109166,687,742
109268,687,742
109369,687,742
109470,687,742
109571,687,742
109672,687,742
109774,687,742
109875,687,742
109976,687,742
110077,688,742
110178,687,742
110279,687,742
110381,687,742
110482,687,742
110584,687,742
110684,687,742
110785,687,742
110887,687,742
110988,687,742
111089,687,742
111191,687,742
111291,687,742
111393,687,742
111494,687,742
111595,687,742
111697,687,742
111798,687,742
111898,687,742
112000,687,742
112101,687,742
112203,687,742
112304,687,742
112404,687,742
112506,687,742
112607,687,742
112708,687,742
112810,687,742
112911,687,742
113012,687,742
113113,687,742
113214,687,742
113316,687,742
