"Millis","P1","P2"
68881,673,713
68983,673,713
69084,673,713
69185,673,713
69287,674,713
69387,693,713
69489,702,713
69590,676,713
69691,671,713
69793,670,713
69894,669,713
69994,669,713
70096,669,713
70197,669,713
70299,669,713
70400,669,713
70501,670,713
70603,669,713
70703,669,713
70804,669,714
70906,669,721
71007,670,735
71109,670,733
71210,669,738
71311,669,747
71412,669,753
71513,670,743
71614,670,709
71716,670,707
71817,670,709
71919,669,709
72020,669,709
72120,669,709
72222,669,709
72323,670,709
72424,682,709
72526,707,709
72627,676,709
72727,666,709
72829,666,709
72930,666,709
73032,666,709
73133,666,709
73234,666,709
73336,666,709
73436,666,709
73537,666,709
73639,666,709
73740,666,709
73842,666,709
73943,666,709
74044,666,709
74145,666,709
74246,666,709
74347,666,709
74449,666,709
74550,666,709
74652,666,709
74752,666,709
74853,666,709
74955,666,709
75056,666,709
75157,666,709
75259,666,709
75360,689,709
75461,720,709
75562,709,709
75663,670,709
75765,662,709
75866,662,709
75967,662,709
76069,662,709
76169,662,709
76271,662,709
76372,662,709
76473,662,709
76575,662,709
76676,662,709
76776,662,709
76878,662,709
76979,662,709
77081,662,709
77182,662,709
77283,662,710
77385,662,709
77485,662,709
77586,662,709
77688,662,709
77789,662,709
77890,662,709
77992,662,709
78093,662,709
78194,662,709
78295,662,709
78396,662,709
78498,662,709
78599,662,709
78700,662,711
78801,662,714
78902,662,712
79004,662,710
79105,662,710
79206,662,709
79308,662,709
79409,662,709
79509,662,709
79611,662,709
79712,662,709
79814,662,709
79915,662,709
80016,662,710
80118,662,712
80218,662,713
80319,662,713
80421,662,713
80522,662,714
80624,662,716
80725,662,717
80825,662,716
80927,662,716
81028,662,716
81129,662,719
81231,662,727
81332,662,746
81434,662,737
81534,662,707
81635,662,705
81737,662,705
81838,662,705
81939,662,705
82041,662,705
82142,662,705
82242,662,705
82344,662,705
82445,662,705
82547,662,705
82648,662,705
82749,662,705
82850,662,705
82951,662,705
83052,662,705
83154,662,705
83255,662,705
83357,662,705
83458,662,705
83558,662,705
83660,662,705
83761,662,705
83862,662,705
83964,662,705
84065,662,705
84166,662,705
84267,662,705
84368,662,705
84470,662,705
84571,662,705
84672,662,705
84774,662,705
84874,662,706
84976,662,705
85077,662,705
85178,662,705
85280,662,706
85381,662,708
85482,662,710
85583,662,709
85684,662,709
85786,662,711
85887,662,713
85988,662,713
86090,662,711
86190,662,709
86291,662,707
86393,663,706
86494,688,706
86596,721,705
86697,689,705
86798,681,705
86899,721,705
87000,717,705
87101,691,705
87203,666,705
87304,663,705
87405,661,705
87507,662,705
87607,662,705
87709,662,705
87810,662,705
87911,662,705
88013,662,705
88114,670,705
88214,692,705
88316,670,705
88417,658,707
88519,658,708
88620,658,692
88721,658,689
88823,658,704
88923,658,705
89024,658,705
89126,658,705
89227,658,705
89329,658,705
89430,658,706
89530,658,718
89632,658,708
89733,658,699
89834,658,701
89936,658,701
90037,658,701
90139,658,701
90239,658,701
90340,658,701
90442,658,701
90543,658,701
90644,658,701
90746,658,701
90847,658,701
90948,658,701
91049,658,701
91150,658,701
91252,663,701
91353,690,701
91454,684,701
91555,659,701
91656,654,701
91757,655,701
91859,655,701
91960,655,701
92062,655,701
92163,655,701
92263,655,701
92365,655,701
92466,655,701
92567,655,701
92669,655,701
92770,655,701
92871,655,701
92972,655,701
93073,655,701
93175,655,701
93276,655,701
93377,655,701
93479,655,701
93579,655,701
93681,655,701
93782,655,701
93883,655,701
93985,655,701
94086,655,701
94187,655,701
94288,655,701
94389,655,701
94491,655,701
94592,655,701
94693,655,701
94795,655,701
94895,655,701
94996,655,701
95098,655,701
95199,655,701
95301,655,701
95402,655,702
95503,662,704
95604,684,704
95705,675,705
95806,663,705
95908,653,705
96009,651,705
96111,651,704
96212,651,705
96312,651,708
96414,651,717
96515,651,733
96616,651,746
96718,651,720
96819,651,692
96919,651,697
97021,650,697
97122,651,696
97224,652,697
97325,651,697
97426,650,697
97528,651,697
97628,651,697
97729,651,697
97831,651,697
97932,651,697
98034,651,697
98135,651,697
98235,651,697
98337,651,697
98438,651,697
98539,651,697
98641,651,697
98742,652,697
98844,665,696
98944,679,697
99045,686,697
99147,691,697
99248,701,697
99349,714,697
99451,678,697
99551,650,697
99653,647,697
99754,647,697
99855,647,697
99957,647,697
100058,647,697
100158,647,697
100260,647,697
100361,647,697
100463,647,697
100564,647,697
100665,647,697
100767,647,697
100867,647,697
100968,647,697
101070,647,697
101171,647,697
101273,647,697
101374,647,697
101474,647,697
101576,647,697
101677,647,697
101778,647,697
101880,647,697
101981,647,697
102082,647,697
102183,647,697
102284,647,697
102386,647,697
102487,647,701
102588,647,705
102690,647,700
102790,647,697
102891,647,697
102993,647,697
103094,648,698
103196,658,704
103297,680,718
103398,682,709
103499,678,688
103600,650,692
103701,643,693
103803,643,693
103904,644,693
104006,643,693
104106,643,693
104207,644,693
104309,644,693
104410,643,693
104511,643,693
104613,643,693
104714,644,693
104815,644,693
104916,643,693
105017,643,693
105119,643,693
105220,643,693
105321,643,693
105422,643,693
105523,643,693
105625,643,693
105726,643,693
105827,643,693
105929,643,693
106030,643,693
106130,643,693
106232,643,693
106333,644,693
106434,644,693
106536,643,693
106637,643,693
106738,643,693
106839,643,693
106940,644,693
107042,643,693
107143,643,693
107244,643,693
107346,643,693
107446,643,693
107548,643,693
107649,644,693
107750,644,693
107852,644,693
107953,643,693
108053,643,693
108155,643,693
108256,643,693
108358,643,693
108459,643,693
108560,643,693
108662,643,693
108762,643,693
108863,644,693
108965,644,693
109066,643,693
109168,643,693
109269,643,693
109369,644,693
109471,644,693
109572,643,693
109673,643,693
109775,643,693
109876,643,693
109977,643,693
110078,643,693
110179,643,693
110281,644,693
110382,643,693
110483,644,693
110585,644,693
110685,644,693
110786,643,693
110888,643,693
110989,643,693
111091,643,693
111192,643,694
111292,643,699
111394,644,701
111495,644,692
111596,644,690
111698,644,690
111799,643,690
111900,643,690
112001,643,690
112102,643,690
112204,644,690
112305,643,690
112406,644,690
112508,644,690
112608,644,690
112710,644,690
112811,644,690
112912,644,690
113014,643,690
113115,643,690
113215,643,690
113317,643,690
113418,643,690
113520,644,690
113621,644,690
113722,643,690
113824,643,690
113924,643,690
114025,643,690
114127,643,690
114228,644,690
114330,644,690
114431,644,690
114531,643,690
114633,644,690
114734,643,690
114835,644,690
114937,643,690
115038,643,690
115140,643,690
115240,643,690
115341,644,690
115443,643,690
115544,643,690
115645,644,690
115747,644,690
115847,643,690
115948,643,690
116050,643,690
116151,643,689
116253,643,690
116354,643,690
116455,644,690
116556,644,691
116657,643,693
116758,643,695
116860,644,693
116961,644,692
117063,644,693
117163,643,695
117264,643,695
117366,644,687
117467,644,686
